Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
19.08.2025;Эдуард Цепелев;Проезд;Лечо;Пермь, улица Василия Татищева, 3;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;АНАНАC, БАРБАРИС, ВИШНЁВЫЙ СОК, ГРУША, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КАРАМЕЛЬ ЦИТРУС, КИСЛАЯ МАЛИНА, КОКОС, ЛАВАНДОВЫЙ ТОНИК, ЛИМОН, ЛИМОНЧЕЛЛО, МУЛЬТИФРУКТ, МЯТНАЯ КОНФЕТА, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА КРЫЖОВНИК, ЧУПА ЭНЕРДЖИ;ГРЕЙПФРУТ, КОРИЦА, ЛАВАНДА, ЧЁРНАЯ СМОРОДИНА;
18.08.2025;Фофанов Андрей;Проезд;Overpack;Челябинск, проспект Ленина, 77;;БАНАН, БАРБАРИС, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КОКОС, ЛЕДЯНОЙ АРБУЗ;УРАЛ;
19.08.2025;Шарков Роман;Проезд;Секта;Республика Башкортостан, Уфа, улица Софьи Перовской, 56;АПЕЛЬСИН, ДЫНЯ, КОКОС, ЛИМОНЧЕЛЛО, ПЕРСИК ЙОГУРТ;ВИШНЁВЫЙ СОК, ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЁЛКИ ЯГОДЫ АНАНАС, МАНГО КИВИ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНОСЛИВ КЕДР;;
19.08.2025;Дмитрий Мальков;Проезд;T&S Lounge;Московская область, Королёв, улица Космонавта Стрекалова, 54, 141070;;;;
19.08.2025;Левин Роман;Проезд;SM Lounge;Краснодар, Прикубанский внутригородской округ, Музыкальный микрорайон, улица имени С.В. Рахманинова, 16;КОЛА;ГАСПАЧО, ЗЕМЛЯНИКА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;КАРАМЕЛЬ, МАЛИНА, МОРКОВНЫЙ ФРЕШ
19.08.2025;Кравцов Денис;Проезд;Мята Lounge;Москва, Волоколамское шоссе, 3, 125080;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), МУЛЬТИФРУКТ;;
19.08.2025;Кравцов Денис;Проезд;Atmosphere Lounge;Москва, Волоколамское шоссе, 7, 125080;;SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
19.08.2025;Дмитрий Мальков;Проезд;Garden Lounge;Московская область, Королёв, проезд Циолковского, 6А, 141078 • этаж 2;;АЛОЭ КЛУБНИКА, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА;;АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
19.08.2025;Голев Вадим;Проезд;Pereplёt;Проспект Ленина, 49;;ГАСПАЧО, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ДЫНЯ ЙОГУРТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;;БАЗА
19.08.2025;Кравцов Денис;Проезд;HookahPlace;Москва, Волоколамское шоссе, 1, стр. 1, 125080;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА, ЯГОДНЫЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ЧЁРНАЯ СМОРОДИНА;
19.08.2025;Левин Роман;Проезд;Black Forest;Краснодар, Московская улица, 121, 350024;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, МАНГО, ПЕРСИК ЙОГУРТ, ТРОПИЧЕСКИЙ СМУЗИ;БАРБАРИС, ГРУША ГОРГОНЗОЛА, ЁЛКИ ЯГОДЫ АНАНАС, КАКТУС ПОМЕЛО, КЛУБНИКА ОГУРЕЦ, КОКОС, МАРАСКИНО ЧЕРРИ, МУЛЬТИФРУКТ, МЯТНАЯ КОНФЕТА, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;КОРИЦА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, СЛИВА АБРИКОС, ЧЕРНИКА РОМАШКА;
19.08.2025;Дмитрий Мальков;Проезд;Frame;Московская область, Королёв, улица Грабина, 8Б, стр. 1;;;;
19.08.2025;Кравцов Денис;Проезд;Забивочка;Москва, Рязанский проспект, 34, корп. 2, 109377 • этаж 1;;СМОРОДИНА ЧАБРЕЦ;;
19.08.2025;Шарков Роман;Проезд;МайКлауд;Республика Башкортостан, Уфа, проспект Октября, 91;АПЕЛЬСИН, ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ;АЛОЭ КЛУБНИКА, ВИНОГРАДНЫЙ НАПИТОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЛАВАНДА ФЕЙХОА, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;;
19.08.2025;Кравцов Денис;Проезд;Route 66 Lounge;Москва, Рязанский проспект, 30, корп. 2, 109428 • этаж 3;;;;
19.08.2025;Кравцов Денис;Проезд;Vozduh;Москва, Рязанский проспект, 32, корп. 3 • этаж цокольный;;;;
19.08.2025;Кравцов Денис;Проезд;Palacio;Москва, улица Паперника, 9, 109456;;;;
18.08.2025;Петров Алексей;Проезд;Vdihay lounge;Санкт-Петербург, Дегтярный переулок, 28В, 191015;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;АНАНАC, АРБУЗ ЯГОДЫ, КАРАМЕЛЬ ЦИТРУС, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
19.08.2025;Кравцов Денис;Проезд;Vinyl Art Lounge;Москва, улица Михайлова, 30А, корп. 1;;ЛИМОНЧЕЛЛО;;
19.08.2025;Левин Роман;Проезд;Медведь;Краснодар,Московская ул, 122;;КОКОС, САХАРНАЯ КЛЮКВА, СМОРОДИНА КРЫЖОВНИК, ЧЕРЁМУХА;;
20.08.2025;Шкуркин Иван;Проезд;Абдула, Поджигай!;Новосибирск, Комсомольский проспект, 24, 630004 • этаж цокольный;;;;
21.08.2025;Шкуркин Иван;Проезд;Депо;Новосибирск, улица Мичурина, 12, 630091 • этаж 2;;ЗЕЛЕНЫЙ ЧАЙ, КИСЛАЯ МАЛИНА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;;
19.08.2025;Кравцов Денис;Проезд;River Lounge;Москва, Рязанский проспект, 18, 109428 • этаж 2;;АЛОЭ КЛУБНИКА, БАЗИЛИК ЛАЙМ, ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША, ЁЛКИ ЯГОДЫ АНАНАС, ЗЕМЛЯНИКА, МАНГО КИВИ, МАРАКУЙЯ, МУЛЬТИФРУКТ, ЧЕРНИКА ЙОГУРТ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АНАНАС, ГВОЗДИКА, КОРИЦА, ЛАВАНДА, МАЛИНА ЛИЧИ БАЗИЛИК, УРАЛ, ЧУПА ЭНЕРДЖИ;АНАНАС, ЗЕМЛЯНИКА, МАЛИНА, МАНГО
19.08.2025;Петров Алексей;Проезд;Not Bad;Санкт-Петербург, проспект Луначарского, 11к1;КОКОС, СЛИВОЧНЫЙ КРЕМ, PINK SHOT;;;
19.08.2025;Голев Вадим;Проезд;Момент hookah space;Проспект Ленина, 20;ДЫНЯ, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АНАНАC, БАНАН, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕЛЕНЫЙ ЧАЙ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КАРАМЕЛЬ ЦИТРУС, КИВИ СЕЛЬДЕРЕЙ, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛЕДЯНОЙ АРБУЗ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЯГОДНЫЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
20.08.2025;Петров Алексей;Проезд;Эндорфин;Санкт-Петербург, Комендантский проспект, 58, корп. 1;;ВИНОГРАД МЯТА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КАРАМЕЛЬ ЦИТРУС, МАРАСКИНО ЧЕРРИ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ;;
19.08.2025;Чечин Илья;Проезд;Смокинг ;Ленинградская 22;МАЛИНА, МАНГО;ЛАВАНДОВЫЙ ТОНИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ;АРБУЗ;
20.08.2025;Петров Алексей;Проезд;Kuritsa;Санкт-Петербург, Комендантский проспект, 54;;;;
19.08.2025;Левин Роман;Проезд;Shaman Hookah;Краснодар, Прикубанский внутригородской округ, микрорайон Московский, улица имени Николая Семеновича Котлярова, 13;ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ;ВИШНЕВАЯ ГАЗИРОВКА, ГОЛУБИКА, ГРУША ГОРГОНЗОЛА, КАРАМЕЛЬ ЦИТРУС, КЛУБНИКА АНАНАС, КЛУБНИКА ОГУРЕЦ, КОКОС, МАНДАРИН, СМОРОДИНА ЧАБРЕЦ, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ;КОРИЦА;ЧЁРНЫЙ ПЕРЕЦ
19.08.2025;Левин Роман;Проезд;Zone Lounge ;Краснодар, Восточно-Кругликовская улица, 30;;КОКОС, МУЛЬТИФРУКТ;;
20.08.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Луначарского, 99, 614068;АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КОКОС, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АРБУЗ ЯГОДЫ, ГАСПАЧО, ГРУША ГОРГОНЗОЛА, ЗЕМЛЯНИКА, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА;КОРИЦА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, ЧЕРНИКА РОМАШКА;АНАНАС, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, МАЛИНА, МАНГО, ЧЁРНЫЙ ПЕРЕЦ
20.08.2025;Эдуард Цепелев;Проезд;Chill Out;Пермь, улица Ленина, 58, 614000;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, МАНГО КИВИ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АНАНАС, АРБУЗ, ГРЕЙПФРУТ, ТОРФЯНОЙ ВИСКИ, ЧЁРНАЯ СМОРОДИНА;ДЖИН, ЧЁРНЫЙ ПЕРЕЦ
20.08.2025;Петров Алексей;Проезд;Хука Lounge;Санкт-Петербург, Приморский проспект, 137, корп. 1В • 2, 51-Н;;МАРАСКИНО ЧЕРРИ;;
20.08.2025;Кравцов Денис;Проезд;Hookah place Eden;Москва, Маломосковская улица, 14;;;;
20.08.2025;Шарков Роман;Проезд;Чилл Хард;Республика Башкортостан, Уфа, Российская улица, 149;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АЛОЭ КЛУБНИКА, АРБУЗ ЯГОДЫ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, ЛИМОНЧЕЛЛО, ПЕСОЧНОЕ ПЕЧЕНЬЕ;СЛИВА АБРИКОС, УРАЛ;
20.08.2025;Эдуард Цепелев;Проезд;Чайка ZaZa;Пермь, Монастырская улица, 2;;ЗЕЛЕНЫЙ ЧАЙ, КАРАМЕЛЬ ЦИТРУС, ЛИМОНЧЕЛЛО, ЧЕРНИКА ЙОГУРТ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;ГРЕЦКИЙ, КАРАМЕЛЬ, ЧЁРНЫЙ ПЕРЕЦ
20.08.2025;Петров Алексей;Проезд;Maze-Central;Санкт-Петербург, Гороховая улица, 79;;ЛАВАНДОВЫЙ ТОНИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
20.08.2025;Шарков Роман;Проезд;Gallery tobacco;Республика Башкортостан, Уфа, улица Космонавтов, 7, 450044;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);;
20.08.2025;Кравцов Денис;Проезд;HookahPlace Futura;Москва, Страстной бульвар, 6, стр. 1, 125009 • 2;;;;БАЗА, ГРЕЦКИЙ, ЧЁРНЫЙ ПЕРЕЦ
20.08.2025;Кравцов Денис;Проезд;Dukh;Москва, Страстной бульвар, 4, стр. 3, 125009;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
20.08.2025;Кравцов Денис;Проезд;Мята Platinum;Москва, Тверская улица, 12, стр. 2, 125375 • этаж цокольный;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА;;
20.08.2025;Кравцов Денис;Проезд;Якамоз;Москва, Настасьинский переулок, 1, 127006;;;;
20.08.2025;Кравцов Денис;Проезд;Стим Lounge;Москва, Настасьинский переулок, 8с1;;;;
20.08.2025;Дмитрий Мальков;Проезд;Мята Platinum;Москва, Рублёвское шоссе, 48/1, 121609 • этаж 2;;ДЫНЯ ЙОГУРТ, КОКОС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНОСЛИВ КЕДР, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ЛЕДЕНЦЫ ЛИМОН ДЫНЯ;
21.08.2025;Петров Алексей;Проезд;Maze;Санкт-Петербург, Большой проспект Петроградской стороны, 79;;;;
20.08.2025;Кравцов Денис;Проезд;Everest Siberia;Москва, Садовая-Триумфальная улица, 22/31, 127006;АПЕЛЬСИН, КЛУБНИКА;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);УРАЛ, ЧЁРНАЯ СМОРОДИНА;
21.08.2025;Шкуркин Иван;Проезд;Mist;Новосибирск, Красный проспект, 62, 630091 • этаж цокольный;;ЧЕРНИКА ЙОГУРТ;;
24.08.2025;Шкуркин Иван;Проезд;Цоколь;Новосибирск, улица Галущака, 2;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕМЛЯНИКА, МУЛЬТИФРУКТ, ЧЕРНИКА ЙОГУРТ;КОРИЦА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, ЧУПА ЭНЕРДЖИ;
20.08.2025;Шарков Роман;Проезд;R10;Республика Башкортостан, Уфа, улица Александра Невского, 20;АРБУЗНАЯ ЖВАЧКА, ЯГОДНЫЙ СМУЗИ;КИСЛАЯ МАЛИНА, СМОРОДИНА ЧАБРЕЦ, ЧЕРНОСЛИВ КЕДР;ЧЁРНАЯ СМОРОДИНА;
20.08.2025;Матвей Карпенко;Проезд;Malian lounge;Улица Куколкина, 33а;;;;
22.08.2025;Петров Алексей;Проезд;Loft 45;Санкт-Петербург, улица Оптиков, 45, корп. 1, 197082;АПЕЛЬСИН, КРАСНЫЙ ВИНОГРАД, МАНГО, СЛИВОЧНЫЙ КРЕМ;БАРБАРИС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), ЧЕРЁМУХА;;КАРАМЕЛЬ
21.08.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Чернышевского, 28, 614002;МАЛИНА, МАНГО, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;;КОРИЦА, ЛАВАНДА;
21.08.2025;Эдуард Цепелев;Проезд;The Times;Пермь, улица Белинского, 6Б, 614002;ДЫНЯ, ЛИМОН, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЯГОДНЫЙ СМУЗИ;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КАРАМЕЛЬ ЦИТРУС, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА КРЫЖОВНИК, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, КОРИЦА;ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
21.08.2025;Дмитрий Никулин;Проезд;HookahPlace;Рязанский просп., 99А, 109542 • этаж 2;;ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КОКОС, МАРАСКИНО ЧЕРРИ;ЗЕМЛЯНИКА ЛЕМОНГРАСС, КОРИЦА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ;
21.08.2025;Шарков Роман;Проезд;Тонэ;Республика Башкортостан, Уфа, Первомайская улица, 67/1;АПЕЛЬСИН, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;БАРБАРИС, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
21.08.2025;Дмитрий Никулин;Проезд;Lounge Wood;Ферганская ул., вл8-10;;ГАСПАЧО, КЛУБНИКА ОГУРЕЦ, МАРАСКИНО ЧЕРРИ, ЯГОДНЫЙ МИЛКШЕЙК;;
21.08.2025;Левин Роман;Проезд;Golden Pride;Краснодар, Уральская улица, 75/6, 350059;;САХАРНАЯ КЛЮКВА;СЛИВА АБРИКОС, ЧЕРНИКА РОМАШКА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
21.08.2025;Дмитрий Никулин;Проезд;HookahPlace Sicilia;Ташкентская ул., 22, 109472;;АЛОЭ КЛУБНИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
21.08.2025;Дмитрий Мальков;Проезд;Keidj;Москва, Винницкая улица, 8, корп. 4, 119192;;;;
21.08.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Мира, 41В, 614095;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;БАРБАРИС, ВИШНЁВЫЙ СОК, ЗЕМЛЯНИКА, КИСЛАЯ МАЛИНА, КОЛА КАРАМЕЛЬ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА;АНАНАС, ЗЕМЛЯНИКА, МАЛИНА, МАНГО, ЧЁРНЫЙ ПЕРЕЦ
21.08.2025;Шарков Роман;Проезд;Divan Lounge;Республика Башкортостан, Уфа, Кольцевая улица, 14, 450064;АПЕЛЬСИН, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АЛОЭ КЛУБНИКА, ВИНОГРАД МЯТА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЛИМОНЧЕЛЛО, МАРАСКИНО ЧЕРРИ, МУЛЬТИФРУКТ, СМОРОДИНА ЧАБРЕЦ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
